precinct_id,rate_overvote,Median Income
1101,0.006611570247933884,72806.60677905293
1102,0.0018957345971563982,52263.75896616688
1103,0.0029498525073746312,46197.31193622667
1104,0.009107468123861567,21577.360577132968
1105,0.009107468123861567,30174.622146879516
1106,0.0012004801920768306,29692.558562804832
1107,0.0012422360248447205,23824.881329347634
1108,0.0,31350.5617148253
1109,0.002288329519450801,35017.06029610641
1111,0.0018034265103697023,45118.52094326554
1112,0.0,39968.10836818905
1113,0.00477326968973747,40404.70315502925
1114,0.003770028275212064,28873.713304044195
1115,0.0040609137055837565,33736.89346931598
1116,0.004153686396677051,34047.35291717953
1117,0.0010976948408342481,38481.83682418208
1118,0.0,62313.373863298635
1119,0.001218026796589525,45922.53789727172
1121,0.00130718954248366,39967.68933295025
1122,0.004398826979472141,22226.655360477947
1123,0.004044489383215369,51636.06326288883
1124,0.0011560693641618498,57323.80156634544
1125,0.0033500837520938024,90335.52641112634
1126,0.0027447392497712718,64128.11512188321
1127,0.004835589941972921,50636.80687169352
1128,0.0031380753138075313,30448.4427067667
1129,0.004355400696864111,36320.62763771058
1131,0.004201680672268907,22620.75168651636
1132,0.006255585344057194,30963.401163837796
1133,0.0030959752321981426,34737.56807814322
1134,0.002372479240806643,26442.520058738624
1135,0.0,25186.560082306114
1136,0.002162162162162162,32352.645222437488
1141,0.0017605633802816902,44568.5472565197
1142,0.0020387359836901123,49903.23457726544
1143,0.0027397260273972603,47288.36388156505
1144,0.0029585798816568047,43972.23009487562
1145,0.0,52975.82940911123
1146,0.0008620689655172414,49521.15000746793
1147,0.002107481559536354,44165.868621348374
1148,0.0027447392497712718,49044.434371641386
1149,0.0,44400.883395739016
1151,0.0,488.17232916519237
1152,0.006185567010309278,39237.047548758346
1153,0.0,44226.442221927166
1154,0.0,43761.90635846256
7001,0.0012690355329949238,78226.71428858976
7002,0.0,80713.29460421113
7003,0.0,100887.49477033534
7004,0.0,106840.64639017341
7005,0.001184834123222749,75677.56365062129
7006,0.0010775862068965517,157474.71210893433
7007,0.0,73379.70993256013
7008,0.0011025358324145535,78318.30157737662
7009,0.003432494279176201,64015.96109017057
7011,0.0009606147934678194,82971.74017584178
7012,0.0,116553.69379777182
7013,0.0016155088852988692,68140.75444023246
7014,0.0013568521031207597,18103.01759215496
7015,0.0,45881.015251303455
7016,0.0029469548133595285,50529.255919199335
7017,0.0,57811.40838722476
7018,0.0,50580.75226614352
